# Mirror configuration for CTA MST prototype from CAD/FEM data.
# Based on DC_V5_Dish_G_final.mir by M. Garczarczyk, 2017-10-18, for
# elevation angle 90 deg.
# Includes reported mirror z positions.
# Reformatting original data with:  
#   awk '{ if ( sqrt($1*$1+$2*$2) > 100. ) printf "%8.2f %8.2f %8.2f %8.2f 1\n",$1*0.1,$2*0.1,120.,0.; }'
# 
# Column 1: X pos. [cm] (North/Down)
# Column 2: Y pos. [cm] (West/Right from camera)
# Column 3: flat-to-flat diameter [cm]
# Column 4: focal length [cm], typically zero = adapting in sim_telarray.
# Column 5: shape type: 0=circular, 1=hex. with flat side parallel to y, 2=square, 3=other hex. (default: 0)
# Column 6: Z pos (height above dish backplane) [cm], typ. omitted (or zero) to adapt to dish shape settings.
#
   -0.00  -620.79   120.00     0.00 1  103.030
   -0.00   620.78   120.00     0.00 1  103.030
 -107.52  -434.55   120.00     0.00 1   52.912
 -107.52  -310.39   120.00     0.00 1   28.351
 -107.52   434.55   120.00     0.00 1   52.912
  322.57   186.23   120.00     0.00 1   36.502
 -537.61  -310.39   120.00     0.00 1  103.030
 -537.61   310.39   120.00     0.00 1  103.030
  537.61  -310.39   120.00     0.00 1  103.030
  537.61   310.39   120.00     0.00 1  103.030
  322.57  -434.55   120.00     0.00 1   77.801
  537.61   -62.08   120.00     0.00 1   77.801
  537.61    62.08   120.00     0.00 1   77.801
  537.61   186.23   120.00     0.00 1   86.172
  430.09  -372.47   120.00     0.00 1   86.172
  537.61  -186.24   120.00     0.00 1   86.172
  430.09  -248.31   120.00     0.00 1   65.315
  430.09  -124.16   120.00     0.00 1   52.912
  215.04  -372.47   120.00     0.00 1   48.796
  322.57  -186.23   120.00     0.00 1   36.502
  322.57   -62.08   120.00     0.00 1   28.351
  322.57    62.08   120.00     0.00 1   28.351
  322.57   310.39   120.00     0.00 1   52.912
  322.57   434.55   120.00     0.00 1   77.801
  215.05  -496.63   120.00     0.00 1   77.801
  430.09    -0.00   120.00     0.00 1   48.796
  430.09   124.16   120.00     0.00 1   52.912
  430.09   248.31   120.00     0.00 1   65.315
  430.09   372.47   120.00     0.00 1   86.172
  322.57  -310.39   120.00     0.00 1   52.912
  215.05   496.63   120.00     0.00 1   77.801
  215.04  -248.31   120.00     0.00 1   28.351
  215.04  -124.16   120.00     0.00 1   16.189
  215.04    -0.00   120.00     0.00 1   12.152
  215.04   124.16   120.00     0.00 1   16.189
  215.04   248.31   120.00     0.00 1   28.351
  215.04   372.47   120.00     0.00 1   48.796
  107.52  -558.71   120.00     0.00 1   86.172
  107.52  -434.55   120.00     0.00 1   52.912
  107.52  -310.39   120.00     0.00 1   28.351
  107.52  -186.23   120.00     0.00 1   12.152
  107.52   -62.08   120.00     0.00 1    4.104
  107.52    62.08   120.00     0.00 1    4.104
 -107.52   558.70   120.00     0.00 1   86.172
 -107.52  -558.71   120.00     0.00 1   86.172
 -107.52  -186.23   120.00     0.00 1   12.152
 -107.52   -62.08   120.00     0.00 1    4.104
 -107.52    62.08   120.00     0.00 1    4.104
 -107.52   186.23   120.00     0.00 1   12.152
 -107.52   310.39   120.00     0.00 1   28.351
 -215.04  -248.31   120.00     0.00 1   28.351
 -215.04  -372.47   120.00     0.00 1   48.796
 -215.04  -124.16   120.00     0.00 1   16.189
 -215.04    -0.00   120.00     0.00 1   12.152
 -215.05  -496.63   120.00     0.00 1   77.801
   -0.00   496.62   120.00     0.00 1   65.315
   -0.00  -372.47   120.00     0.00 1   36.503
    0.00  -248.31   120.00     0.00 1   16.189
   -0.00  -124.16   120.00     0.00 1    4.104
   -0.00   124.15   120.00     0.00 1    4.104
    0.00   248.31   120.00     0.00 1   16.189
   -0.00   372.47   120.00     0.00 1   36.503
   -0.00  -496.63   120.00     0.00 1   65.315
  107.52   186.23   120.00     0.00 1   12.152
  107.52   310.39   120.00     0.00 1   28.351
  107.52   434.55   120.00     0.00 1   52.912
  107.52   558.70   120.00     0.00 1   86.172
 -322.57   434.55   120.00     0.00 1   77.801
 -322.57  -310.39   120.00     0.00 1   52.912
 -322.57  -186.23   120.00     0.00 1   36.502
 -322.57   -62.08   120.00     0.00 1   28.351
 -322.57    62.08   120.00     0.00 1   28.351
 -322.57   186.23   120.00     0.00 1   36.502
 -322.57   310.39   120.00     0.00 1   52.912
 -215.04   124.16   120.00     0.00 1   16.189
 -215.04   248.31   120.00     0.00 1   28.351
 -215.04   372.47   120.00     0.00 1   48.796
 -215.05   496.63   120.00     0.00 1   77.801
 -322.57  -434.55   120.00     0.00 1   77.801
 -430.09   372.47   120.00     0.00 1   86.172
 -430.09  -372.47   120.00     0.00 1   86.172
 -430.09  -248.31   120.00     0.00 1   65.315
 -430.09  -124.16   120.00     0.00 1   52.912
 -430.09    -0.00   120.00     0.00 1   48.796
 -430.09   124.16   120.00     0.00 1   52.912
 -430.09   248.31   120.00     0.00 1   65.315
 -537.61  -186.24   120.00     0.00 1   86.172
 -537.61   -62.08   120.00     0.00 1   77.801
 -537.61    62.08   120.00     0.00 1   77.801
 -537.61   186.23   120.00     0.00 1   86.172
